Drug,SideEffect,OrganClass,Reported,Expected,TimesMoreThanExpected,PRR,ROR,SignalScore,Status,ReferenceSetStatus,PctSerious,PctFatal,PctRechallengePositive,PctClinicianReported,EverFlagged,FirstFlagged
TAMSULOSIN,RASH,Skin,1301,1268.5,1.03,1.03,1.03,-0.055,Ordinary,Not in reference set,83.70,18.06,4.69,67.10,No,
DULOXETINE,WEIGHT DECREASED,Investigations,823,789.4,1.04,1.05,1.05,-0.055,Ordinary,Not in reference set,83.84,13.85,6.08,67.68,No,
TAMSULOSIN,TENDON RUPTURE,Musculoskeletal,754,720.6,1.05,1.05,1.05,-0.055,Ordinary,Not in reference set,84.35,17.64,4.91,65.38,No,
LEVOTHYROXINE,RASH,Skin,2738,2722.8,1.01,1.01,1.01,-0.055,Ordinary,Not in reference set,82.83,16.98,5.04,66.36,No,
ALBUTEROL,RASH,Skin,2047,2022.0,1.01,1.01,1.01,-0.055,Ordinary,Not in reference set,83.83,19.44,5.91,67.71,No,
CLOZAPINE,INSOMNIA,Psychiatric,1187,1154.0,1.03,1.03,1.03,-0.055,Ordinary,Not in reference set,81.55,16.51,4.72,66.81,No,
AMIODARONE,MUSCULAR WEAKNESS,Musculoskeletal,682,649.1,1.05,1.05,1.06,-0.055,Ordinary,Not in reference set,80.79,16.72,7.04,65.98,No,
CLOZAPINE,PRURITUS,Skin,1152,1119.0,1.03,1.03,1.03,-0.055,Ordinary,Not in reference set,83.16,16.32,5.64,68.40,No,
PANTOPRAZOLE,ELECTROCARDIOGRAM QT PROLONGED,Cardiac,1091,1057.8,1.03,1.03,1.04,-0.055,Ordinary,Not in reference set,82.86,17.97,3.94,68.38,No,
FUROSEMIDE,WEIGHT DECREASED,Investigations,1071,1037.8,1.03,1.04,1.04,-0.055,Ordinary,Not in reference set,85.71,18.02,6.26,70.03,No,
ROSUVASTATIN,HYPERKALAEMIA,Metabolic,813,779.7,1.04,1.05,1.05,-0.055,Ordinary,Not in reference set,83.76,16.73,4.43,65.81,No,
GABAPENTIN,INSOMNIA,Psychiatric,1819,1791.6,1.02,1.02,1.02,-0.056,Ordinary,Not in reference set,84.17,18.53,5.06,66.08,No,
WARFARIN,PRURITUS,Skin,1770,1742.0,1.02,1.02,1.02,-0.056,Ordinary,Not in reference set,83.05,18.14,5.82,68.42,No,
TRAMADOL,WEIGHT DECREASED,Investigations,943,909.6,1.04,1.04,1.04,-0.056,Ordinary,Not in reference set,82.08,16.22,5.73,64.37,No,
AMIODARONE,ALOPECIA,Skin,676,643.3,1.05,1.05,1.06,-0.056,Ordinary,Not in reference set,83.73,18.20,6.36,65.53,No,
APIXABAN,INSOMNIA,Psychiatric,1394,1362.7,1.02,1.02,1.03,-0.056,Ordinary,Not in reference set,83.43,17.22,6.03,66.71,No,
INSULIN GLARGINE,HYPERTENSION,Vascular,1001,967.7,1.03,1.04,1.04,-0.056,Ordinary,Not in reference set,83.02,17.58,5.89,68.23,No,
ONDANSETRON,DYSPNOEA,Respiratory,1802,1774.6,1.02,1.02,1.02,-0.056,Ordinary,Not in reference set,83.41,16.37,5.66,68.20,No,
ESOMEPRAZOLE,ARTHRALGIA,Musculoskeletal,1602,1572.6,1.02,1.02,1.02,-0.056,Ordinary,Not in reference set,82.40,15.36,5.12,67.29,No,
PANTOPRAZOLE,GASTROINTESTINAL HAEMORRHAGE,Gastrointestinal,1387,1355.8,1.02,1.02,1.03,-0.056,Ordinary,Not in reference set,81.90,17.52,5.70,68.93,No,
OMEPRAZOLE,CONSTIPATION,Gastrointestinal,1729,1701.1,1.02,1.02,1.02,-0.056,Ordinary,Not in reference set,84.62,16.43,5.03,69.46,No,
ADALIMUMAB,INSOMNIA,Psychiatric,1177,1144.5,1.03,1.03,1.03,-0.056,Ordinary,Not in reference set,83.94,16.14,6.03,67.03,No,
FUROSEMIDE,HYPONATRAEMIA,Metabolic,1022,989.0,1.03,1.04,1.04,-0.056,Ordinary,Not in reference set,83.27,16.83,5.48,66.44,No,
MONTELUKAST,HYPONATRAEMIA,Metabolic,1148,1115.6,1.03,1.03,1.03,-0.056,Ordinary,Not in reference set,83.62,16.55,6.53,68.21,No,
ONDANSETRON,DRUG INEFFECTIVE,General,2044,2020.3,1.01,1.01,1.01,-0.056,Ordinary,Not in reference set,82.93,17.03,5.97,67.47,No,
VALPROATE,ARTHRALGIA,Musculoskeletal,1181,1148.8,1.03,1.03,1.03,-0.056,Ordinary,Not in reference set,84.59,17.78,5.08,66.98,No,
AZITHROMYCIN,MALAISE,General,1155,1122.7,1.03,1.03,1.03,-0.056,Ordinary,Not in reference set,84.42,20.17,4.76,67.53,No,
ALBUTEROL,AGRANULOCYTOSIS,Blood,711,678.4,1.05,1.05,1.05,-0.056,Ordinary,Not in reference set,84.25,18.71,5.20,66.95,No,
ESOMEPRAZOLE,LACTIC ACIDOSIS,Metabolic,685,652.6,1.05,1.05,1.06,-0.056,Ordinary,Not in reference set,81.75,18.10,5.99,67.74,No,
AMLODIPINE,HYPOTENSION,Vascular,1644,1615.8,1.02,1.02,1.02,-0.056,Ordinary,Not in reference set,82.66,16.30,5.47,68.61,No,
OMEPRAZOLE,BRADYCARDIA,Cardiac,613,581.2,1.05,1.06,1.06,-0.057,Ordinary,Not in reference set,81.73,17.46,4.57,67.21,No,
PANTOPRAZOLE,AGGRESSION,Psychiatric,492,461.5,1.07,1.07,1.07,-0.057,Ordinary,Not in reference set,81.71,18.09,6.10,66.46,No,
ATORVASTATIN,DRUG INEFFECTIVE,General,2517,2501.2,1.01,1.01,1.01,-0.057,Ordinary,Not in reference set,83.55,16.13,5.68,65.83,No,
AZITHROMYCIN,INSOMNIA,Psychiatric,1616,1587.8,1.02,1.02,1.02,-0.057,Ordinary,Not in reference set,82.67,16.96,5.01,66.96,No,
ESOMEPRAZOLE,DYSPNOEA,Respiratory,1592,1563.5,1.02,1.02,1.02,-0.057,Ordinary,Not in reference set,82.91,17.46,5.09,68.59,No,
AZITHROMYCIN,FATIGUE,General,2025,2001.9,1.01,1.01,1.01,-0.057,Ordinary,Not in reference set,81.98,18.62,6.42,67.06,No,
METFORMIN,GASTROINTESTINAL HAEMORRHAGE,Gastrointestinal,1925,1900.6,1.01,1.01,1.02,-0.057,Ordinary,Not in reference set,83.27,17.66,6.13,67.06,No,
ROSUVASTATIN,ALOPECIA,Skin,1042,1009.7,1.03,1.04,1.04,-0.057,Ordinary,Not in reference set,82.82,17.95,5.18,67.27,No,
SITAGLIPTIN,SUICIDAL IDEATION,Psychiatric,1013,980.6,1.03,1.03,1.04,-0.057,Ordinary,Not in reference set,80.75,15.70,4.64,66.73,No,
SITAGLIPTIN,CONFUSIONAL STATE,Psychiatric,678,646.0,1.05,1.05,1.05,-0.057,Ordinary,Not in reference set,82.74,17.11,5.75,64.90,No,
IBUPROFEN,ELECTROCARDIOGRAM QT PROLONGED,Cardiac,1368,1337.9,1.02,1.02,1.03,-0.057,Ordinary,Not in reference set,82.31,15.72,4.46,67.25,No,
ALBUTEROL,DEHYDRATION,Metabolic,1058,1026.1,1.03,1.03,1.04,-0.057,Ordinary,Not in reference set,83.74,17.86,5.10,66.35,No,
CELECOXIB,ATRIAL FIBRILLATION,Cardiac,668,636.2,1.05,1.05,1.05,-0.057,Ordinary,Not in reference set,82.49,18.41,5.09,70.81,No,
IBUPROFEN,CARDIAC ARREST,Cardiac,621,589.5,1.05,1.06,1.06,-0.057,Ordinary,Not in reference set,82.29,15.62,7.09,64.73,No,
TRAMADOL,RASH,Skin,1795,1769.7,1.01,1.02,1.02,-0.058,Ordinary,Not in reference set,83.84,16.71,5.74,66.24,No,
LEVOTHYROXINE,PYREXIA,General,2112,2091.3,1.01,1.01,1.01,-0.058,Ordinary,Not in reference set,82.05,18.42,5.16,66.67,No,
LEVOTHYROXINE,GASTROINTESTINAL HAEMORRHAGE,Gastrointestinal,2099,2078.0,1.01,1.01,1.01,-0.058,Ordinary,Not in reference set,82.90,17.06,5.76,66.46,No,
ALLOPURINOL,PARAESTHESIA,Nervous system,702,670.1,1.05,1.05,1.05,-0.058,Ordinary,Not in reference set,84.19,16.38,3.99,68.09,No,
VARENICLINE,HEPATITIS,Hepatobiliary,319,292.0,1.09,1.10,1.10,-0.058,Ordinary,Not in reference set,86.21,21.63,5.64,64.89,Yes,2019Q1
SITAGLIPTIN,DEPRESSION,Psychiatric,1399,1369.7,1.02,1.02,1.02,-0.058,Ordinary,Not in reference set,82.42,18.08,6.36,66.12,No,
ATORVASTATIN,AGRANULOCYTOSIS,Blood,866,834.0,1.04,1.04,1.04,-0.058,Ordinary,Not in reference set,82.79,19.05,5.77,66.74,No,
VARENICLINE,GASTROINTESTINAL HAEMORRHAGE,Gastrointestinal,810,778.1,1.04,1.04,1.05,-0.058,Ordinary,Not in reference set,83.58,17.78,5.06,67.41,No,
LEVOFLOXACIN,DYSPNOEA,Respiratory,1589,1562.0,1.02,1.02,1.02,-0.058,Ordinary,Not in reference set,83.83,18.82,6.48,67.34,No,
AMLODIPINE,DEHYDRATION,Metabolic,1281,1251.3,1.02,1.03,1.03,-0.058,Ordinary,Not in reference set,82.44,17.33,5.23,68.70,No,
CLOZAPINE,RASH,Skin,1316,1286.6,1.02,1.02,1.03,-0.058,Ordinary,Not in reference set,84.73,16.26,6.99,65.81,No,
AMIODARONE,RASH,Skin,1304,1274.5,1.02,1.02,1.03,-0.058,Ordinary,Not in reference set,84.05,16.79,5.21,68.56,No,
METHOTREXATE,OFF LABEL USE,General,1006,974.9,1.03,1.03,1.04,-0.059,Ordinary,Not in reference set,84.59,15.31,6.26,66.40,No,
OMEPRAZOLE,ABDOMINAL PAIN,Gastrointestinal,1996,1975.3,1.01,1.01,1.01,-0.059,Ordinary,Not in reference set,82.11,15.08,4.71,65.88,No,
ATORVASTATIN,PNEUMONIA,Infection,1562,1535.6,1.02,1.02,1.02,-0.059,Ordinary,Not in reference set,82.20,17.35,6.91,68.82,No,
CIPROFLOXACIN,RHABDOMYOLYSIS,Musculoskeletal,867,835.6,1.04,1.04,1.04,-0.059,Ordinary,Not in reference set,82.24,17.88,6.46,67.59,No,
CANAGLIFLOZIN,HYPONATRAEMIA,Metabolic,647,616.0,1.05,1.05,1.06,-0.059,Ordinary,Not in reference set,83.00,16.69,5.87,66.77,No,
ONDANSETRON,NAUSEA,Gastrointestinal,2514,2502.4,1.00,1.01,1.01,-0.059,Ordinary,Not in reference set,82.46,17.34,5.89,67.90,No,
ALBUTEROL,ANAEMIA,Blood,1320,1291.3,1.02,1.02,1.03,-0.059,Ordinary,Not in reference set,83.26,16.14,5.53,66.74,No,
AMLODIPINE,HAEMORRHAGE,Vascular,1340,1311.6,1.02,1.02,1.03,-0.059,Ordinary,Not in reference set,82.99,16.49,5.75,67.84,No,
OMEPRAZOLE,HEPATITIS,Hepatobiliary,674,643.1,1.05,1.05,1.05,-0.059,Ordinary,Not in reference set,84.42,17.21,6.08,64.24,No,
ISOTRETINOIN,DEHYDRATION,Metabolic,542,511.9,1.06,1.06,1.06,-0.059,Ordinary,Not in reference set,81.92,16.79,3.32,65.31,No,
AZITHROMYCIN,RASH,Skin,1793,1770.2,1.01,1.01,1.01,-0.060,Ordinary,Not in reference set,82.77,15.39,5.24,65.53,No,
INSULIN GLARGINE,DEHYDRATION,Metabolic,803,771.9,1.04,1.04,1.04,-0.060,Ordinary,Not in reference set,83.19,17.81,4.98,63.89,No,
METHOTREXATE,LACTIC ACIDOSIS,Metabolic,593,562.6,1.05,1.06,1.06,-0.060,Ordinary,Not in reference set,81.96,16.36,5.90,64.59,No,
AZITHROMYCIN,VOMITING,Gastrointestinal,1814,1791.8,1.01,1.01,1.01,-0.060,Ordinary,Not in reference set,83.19,18.96,5.29,65.93,No,
VARENICLINE,PYREXIA,General,814,783.0,1.04,1.04,1.04,-0.060,Ordinary,Not in reference set,86.24,16.09,7.49,67.20,No,
WARFARIN,HEADACHE,Nervous system,2254,2238.9,1.01,1.01,1.01,-0.060,Ordinary,Not in reference set,82.96,14.82,4.88,66.86,No,
AMLODIPINE,DIZZINESS,Nervous system,2495,2484.5,1.00,1.00,1.01,-0.060,Ordinary,Not in reference set,83.61,16.95,6.05,65.61,No,
MONTELUKAST,ARTHRALGIA,Musculoskeletal,2043,2024.7,1.01,1.01,1.01,-0.060,Ordinary,Not in reference set,83.50,18.21,5.63,66.81,No,
GABAPENTIN,CONSTIPATION,Gastrointestinal,1539,1513.5,1.02,1.02,1.02,-0.060,Ordinary,Not in reference set,84.60,17.02,5.39,68.03,No,
AMIODARONE,GASTROINTESTINAL HAEMORRHAGE,Gastrointestinal,1003,972.7,1.03,1.03,1.03,-0.060,Ordinary,Not in reference set,81.95,17.65,5.68,66.80,No,
DULOXETINE,ANAEMIA,Blood,1011,980.9,1.03,1.03,1.03,-0.060,Ordinary,Not in reference set,82.00,17.01,5.93,64.59,No,
SITAGLIPTIN,MALAISE,General,836,805.3,1.04,1.04,1.04,-0.060,Ordinary,Not in reference set,81.70,15.55,5.98,68.78,No,
SITAGLIPTIN,DEHYDRATION,Metabolic,675,644.4,1.05,1.05,1.05,-0.060,Ordinary,Not in reference set,82.07,17.63,5.33,68.30,No,
AMLODIPINE,BACK PAIN,Musculoskeletal,1597,1572.5,1.02,1.02,1.02,-0.060,Ordinary,Not in reference set,82.03,17.66,5.26,66.69,No,
ADALIMUMAB,HYPERKALAEMIA,Metabolic,527,497.3,1.06,1.06,1.06,-0.060,Ordinary,Not in reference set,83.49,17.65,6.83,66.98,No,
PREDNISONE,TACHYCARDIA,Cardiac,1320,1292.5,1.02,1.02,1.02,-0.061,Ordinary,Not in reference set,82.88,15.15,5.45,65.91,No,
LISINOPRIL,BRADYCARDIA,Cardiac,675,644.5,1.05,1.05,1.05,-0.061,Ordinary,Not in reference set,85.33,16.59,6.37,64.74,No,
CLOPIDOGREL,DRUG INEFFECTIVE,General,1794,1772.6,1.01,1.01,1.01,-0.061,Ordinary,Not in reference set,83.39,18.78,5.13,66.39,No,
WARFARIN,BACK PAIN,Musculoskeletal,1305,1277.5,1.02,1.02,1.02,-0.061,Ordinary,Not in reference set,83.75,16.70,5.59,69.73,No,
ONDANSETRON,RHABDOMYOLYSIS,Musculoskeletal,977,947.0,1.03,1.03,1.04,-0.061,Ordinary,Not in reference set,82.80,15.97,4.30,68.27,No,
TRAMADOL,CLOSTRIDIUM DIFFICILE COLITIS,Gastrointestinal,545,515.3,1.06,1.06,1.06,-0.061,Ordinary,Not in reference set,82.20,17.98,4.59,64.22,No,
TRAMADOL,DRUG INEFFECTIVE,General,1802,1780.8,1.01,1.01,1.01,-0.061,Ordinary,Not in reference set,83.07,18.15,5.83,66.48,No,
FUROSEMIDE,HYPERTENSION,Vascular,1312,1284.6,1.02,1.02,1.02,-0.061,Ordinary,Not in reference set,83.38,17.99,6.10,67.23,No,
ROSUVASTATIN,INSOMNIA,Psychiatric,1815,1794.2,1.01,1.01,1.01,-0.061,Ordinary,Not in reference set,83.36,17.96,6.06,67.05,No,
METHOTREXATE,DIZZINESS,Nervous system,1561,1536.6,1.02,1.02,1.02,-0.061,Ordinary,Not in reference set,83.41,17.42,4.93,66.75,No,
CLOPIDOGREL,GASTROINTESTINAL HAEMORRHAGE,Gastrointestinal,1371,1344.4,1.02,1.02,1.02,-0.061,Ordinary,Not in reference set,82.13,15.97,6.13,66.01,No,
VALPROATE,LACTIC ACIDOSIS,Metabolic,506,476.7,1.06,1.07,1.07,-0.061,Ordinary,Not in reference set,80.43,18.77,7.11,69.17,No,
ATORVASTATIN,HYPERTENSION,Vascular,1605,1581.3,1.01,1.02,1.02,-0.061,Ordinary,Not in reference set,81.62,17.38,6.04,69.35,No,
OMEPRAZOLE,DRUG INEFFECTIVE,General,2272,2259.2,1.01,1.01,1.01,-0.061,Ordinary,Not in reference set,83.05,17.03,5.72,67.61,No,
APIXABAN,MEMORY IMPAIRMENT,Nervous system,621,591.0,1.05,1.05,1.06,-0.061,Ordinary,Not in reference set,83.25,15.94,4.99,71.18,No,
ESOMEPRAZOLE,INSOMNIA,Psychiatric,1610,1586.6,1.01,1.02,1.02,-0.061,Ordinary,Not in reference set,83.35,17.45,6.02,66.40,No,
PREDNISONE,MUSCULAR WEAKNESS,Musculoskeletal,1051,1021.8,1.03,1.03,1.03,-0.061,Ordinary,Not in reference set,83.25,17.79,6.09,66.89,No,
LEVOTHYROXINE,ANAEMIA,Blood,1760,1738.9,1.01,1.01,1.01,-0.061,Ordinary,Not in reference set,83.13,15.97,5.06,66.31,No,
ISOTRETINOIN,AMPUTATION,Procedural,266,241.2,1.10,1.11,1.11,-0.061,Ordinary,Not in reference set,80.83,21.80,6.02,64.66,No,
OMEPRAZOLE,ACUTE KIDNEY INJURY,Renal,1276,1248.9,1.02,1.02,1.02,-0.062,Ordinary,Not in reference set,83.93,18.34,6.27,70.61,No,
GABAPENTIN,THROMBOCYTOPENIA,Blood,787,756.9,1.04,1.04,1.04,-0.062,Ordinary,Not in reference set,82.21,17.28,4.19,67.22,No,
SERTRALINE,DIARRHOEA,Gastrointestinal,2014,1997.3,1.01,1.01,1.01,-0.062,Ordinary,Not in reference set,82.92,16.88,5.51,64.80,No,
AMLODIPINE,PYREXIA,General,1912,1893.7,1.01,1.01,1.01,-0.062,Ordinary,Not in reference set,84.21,16.63,5.75,65.90,No,
CIPROFLOXACIN,VOMITING,Gastrointestinal,1813,1793.1,1.01,1.01,1.01,-0.062,Ordinary,Not in reference set,85.27,18.20,5.52,66.85,No,
AZITHROMYCIN,HYPOGLYCAEMIA,Metabolic,985,955.6,1.03,1.03,1.03,-0.062,Ordinary,Not in reference set,82.64,16.65,6.70,66.09,No,
CIPROFLOXACIN,HEADACHE,Nervous system,1997,1980.2,1.01,1.01,1.01,-0.062,Ordinary,Not in reference set,82.22,16.83,6.31,69.80,No,
HYDROXYCHLOROQUINE,WEIGHT DECREASED,Investigations,687,657.0,1.05,1.05,1.05,-0.062,Ordinary,Not in reference set,82.82,17.90,5.53,64.19,No,
ALBUTEROL,DYSPNOEA,Respiratory,1807,1787.2,1.01,1.01,1.01,-0.062,Ordinary,Not in reference set,85.33,18.04,5.42,67.90,No,
TRAMADOL,TREMOR,Nervous system,945,915.6,1.03,1.03,1.04,-0.062,Ordinary,Not in reference set,82.43,17.46,4.66,67.51,No,
DULOXETINE,SEIZURE,Nervous system,625,595.3,1.05,1.05,1.06,-0.062,Ordinary,Not in reference set,85.60,17.44,4.80,64.48,No,
HYDROXYCHLOROQUINE,OFF LABEL USE,General,847,817.3,1.04,1.04,1.04,-0.062,Ordinary,Not in reference set,84.65,14.99,5.19,66.23,No,
CLOPIDOGREL,SEROTONIN SYNDROME,Nervous system,536,506.8,1.06,1.06,1.06,-0.062,Ordinary,Not in reference set,82.65,18.10,4.66,65.11,No,
WARFARIN,DIZZINESS,Nervous system,2034,2018.4,1.01,1.01,1.01,-0.062,Ordinary,Not in reference set,83.97,16.27,5.90,65.00,No,
LISINOPRIL,NIGHTMARE,Psychiatric,1282,1255.6,1.02,1.02,1.02,-0.062,Ordinary,Not in reference set,82.06,16.85,4.37,65.60,No,
ALLOPURINOL,NEUTROPENIA,Blood,519,490.0,1.06,1.06,1.06,-0.062,Ordinary,Not in reference set,81.70,15.03,6.17,66.86,No,
METHOTREXATE,CARDIAC ARREST,Cardiac,428,400.0,1.07,1.08,1.08,-0.062,Ordinary,Not in reference set,83.64,17.06,5.37,69.16,No,
ONDANSETRON,CLOSTRIDIUM DIFFICILE COLITIS,Gastrointestinal,614,584.6,1.05,1.06,1.06,-0.062,Ordinary,Not in reference set,86.48,18.40,4.56,70.85,No,
OMEPRAZOLE,RASH,Skin,2256,2245.2,1.00,1.01,1.01,-0.063,Ordinary,Not in reference set,84.31,16.93,5.27,65.65,No,
ESOMEPRAZOLE,GASTROINTESTINAL HAEMORRHAGE,Gastrointestinal,1375,1350.1,1.02,1.02,1.02,-0.063,Ordinary,Not in reference set,82.76,16.80,6.04,67.20,No,
PANTOPRAZOLE,CONSTIPATION,Gastrointestinal,1371,1346.0,1.02,1.02,1.02,-0.063,Ordinary,Not in reference set,85.12,17.21,5.18,68.27,No,
CELECOXIB,PYREXIA,General,1010,981.5,1.03,1.03,1.03,-0.063,Ordinary,Not in reference set,82.18,16.34,5.54,68.12,No,
LISINOPRIL,HEADACHE,Nervous system,2783,2783.3,1.00,1.00,1.00,-0.063,Ordinary,Not in reference set,82.46,16.49,5.50,66.73,No,
GABAPENTIN,HYPOGLYCAEMIA,Metabolic,1106,1078.3,1.03,1.03,1.03,-0.063,Ordinary,Not in reference set,81.56,15.64,5.70,68.35,No,
LEVOTHYROXINE,OFF LABEL USE,General,1760,1740.7,1.01,1.01,1.01,-0.063,Ordinary,Not in reference set,83.30,18.07,5.97,63.98,No,
METFORMIN,INSOMNIA,Psychiatric,2244,2233.6,1.00,1.01,1.01,-0.063,Ordinary,Not in reference set,82.26,16.89,5.70,66.18,No,
GABAPENTIN,DIARRHOEA,Gastrointestinal,2011,1996.3,1.01,1.01,1.01,-0.063,Ordinary,Not in reference set,83.44,19.14,4.77,65.39,No,
LISINOPRIL,ARTHRALGIA,Musculoskeletal,2224,2213.6,1.00,1.01,1.01,-0.063,Ordinary,Not in reference set,82.01,16.28,6.25,66.28,No,
PANTOPRAZOLE,DIABETIC KETOACIDOSIS,Metabolic,817,787.9,1.04,1.04,1.04,-0.063,Ordinary,Not in reference set,83.11,22.15,4.53,67.81,No,
METHOTREXATE,RESPIRATORY DEPRESSION,Respiratory,605,575.9,1.05,1.05,1.06,-0.063,Ordinary,Not in reference set,84.13,17.52,5.95,66.94,No,
OMEPRAZOLE,HYPOTENSION,Vascular,1494,1471.3,1.02,1.02,1.02,-0.063,Ordinary,Not in reference set,82.53,17.07,5.49,68.01,No,
INSULIN GLARGINE,TREMOR,Nervous system,816,787.0,1.04,1.04,1.04,-0.063,Ordinary,Not in reference set,81.62,17.65,5.64,65.93,No,
METFORMIN,PULMONARY FIBROSIS,Respiratory,782,752.9,1.04,1.04,1.04,-0.063,Ordinary,Not in reference set,81.71,17.77,5.50,68.16,No,
AZITHROMYCIN,THROMBOCYTOPENIA,Blood,700,670.8,1.04,1.05,1.05,-0.063,Ordinary,Not in reference set,81.86,15.14,6.71,67.00,No,
ISOTRETINOIN,SUICIDAL IDEATION,Psychiatric,808,779.0,1.04,1.04,1.04,-0.063,Ordinary,Not in reference set,81.44,19.06,5.20,64.60,No,
ALLOPURINOL,CONGENITAL ANOMALY,Congenital,183,161.4,1.13,1.14,1.14,-0.063,Ordinary,Not in reference set,85.79,20.77,6.01,67.21,No,
PREDNISONE,VOMITING,Gastrointestinal,2044,2030.6,1.01,1.01,1.01,-0.064,Ordinary,Not in reference set,83.22,17.91,5.43,67.51,No,
LISINOPRIL,HYPERTENSION,Vascular,1605,1584.1,1.01,1.01,1.02,-0.064,Ordinary,Not in reference set,84.42,18.38,5.73,67.23,No,
SERTRALINE,INSOMNIA,Psychiatric,1810,1792.6,1.01,1.01,1.01,-0.064,Ordinary,Not in reference set,83.04,17.13,5.80,66.52,No,
METHOTREXATE,FATIGUE,General,1743,1724.4,1.01,1.01,1.01,-0.064,Ordinary,Not in reference set,82.96,17.04,5.74,67.58,No,
LEVOFLOXACIN,RASH,Skin,1785,1767.2,1.01,1.01,1.01,-0.064,Ordinary,Not in reference set,83.08,17.37,6.05,67.68,No,
AMLODIPINE,OFF LABEL USE,General,1597,1576.2,1.01,1.01,1.02,-0.064,Ordinary,Not in reference set,85.35,16.66,4.88,66.19,No,
ESOMEPRAZOLE,ANXIETY,Psychiatric,1367,1342.9,1.02,1.02,1.02,-0.064,Ordinary,Not in reference set,80.18,16.75,5.49,68.54,No,
ALBUTEROL,TENDON RUPTURE,Musculoskeletal,1175,1148.7,1.02,1.03,1.03,-0.064,Ordinary,Not in reference set,82.72,15.83,5.28,68.43,No,
METFORMIN,TORSADE DE POINTES,Cardiac,637,608.0,1.05,1.05,1.05,-0.064,Ordinary,Not in reference set,80.69,16.01,5.34,66.72,No,
GABAPENTIN,VOMITING,Gastrointestinal,2035,2021.8,1.01,1.01,1.01,-0.064,Ordinary,Not in reference set,82.01,17.10,5.65,66.63,No,
LEVOTHYROXINE,HAEMORRHAGE,Vascular,1471,1448.5,1.02,1.02,1.02,-0.064,Ordinary,Not in reference set,81.24,15.91,5.10,63.63,No,
PANTOPRAZOLE,OFF LABEL USE,General,1162,1135.7,1.02,1.03,1.03,-0.064,Ordinary,Not in reference set,83.73,17.13,5.34,67.21,No,
TAMSULOSIN,SEIZURE,Nervous system,520,491.6,1.06,1.06,1.06,-0.064,Ordinary,Not in reference set,83.65,19.62,3.85,63.65,No,
CLOPIDOGREL,PANCYTOPENIA,Blood,827,798.4,1.04,1.04,1.04,-0.064,Ordinary,Not in reference set,83.31,16.20,4.59,66.63,No,
VARENICLINE,ANAEMIA,Blood,680,651.1,1.04,1.05,1.05,-0.064,Ordinary,Not in reference set,83.97,16.03,4.71,68.38,No,
LEVOFLOXACIN,HEADACHE,Nervous system,1989,1975.4,1.01,1.01,1.01,-0.064,Ordinary,Not in reference set,82.76,17.24,5.23,65.91,No,
ALBUTEROL,GASTROINTESTINAL HAEMORRHAGE,Gastrointestinal,1564,1543.2,1.01,1.01,1.02,-0.064,Ordinary,Not in reference set,81.91,16.88,5.82,65.92,No,
ALLOPURINOL,DEPRESSION,Psychiatric,1415,1392.0,1.02,1.02,1.02,-0.064,Ordinary,Not in reference set,83.25,17.24,6.57,67.07,No,
INSULIN GLARGINE,ABDOMINAL PAIN,Gastrointestinal,1362,1338.3,1.02,1.02,1.02,-0.064,Ordinary,Not in reference set,83.63,16.96,6.83,67.11,No,
CLOPIDOGREL,DEHYDRATION,Metabolic,922,894.0,1.03,1.03,1.04,-0.064,Ordinary,Not in reference set,82.00,14.21,5.31,69.52,No,
SERTRALINE,NAUSEA,Gastrointestinal,2494,2490.9,1.00,1.00,1.00,-0.064,Ordinary,Not in reference set,83.20,17.32,5.49,67.52,No,
VARENICLINE,NAUSEA,Gastrointestinal,1295,1270.6,1.02,1.02,1.02,-0.064,Ordinary,Not in reference set,84.48,18.53,6.95,66.72,No,
OMEPRAZOLE,PYREXIA,General,1742,1724.4,1.01,1.01,1.01,-0.064,Ordinary,Not in reference set,82.84,19.06,4.88,65.96,No,
ATORVASTATIN,HAEMORRHAGE,Vascular,1346,1322.3,1.02,1.02,1.02,-0.064,Ordinary,Not in reference set,83.88,17.53,4.83,68.50,No,
METHOTREXATE,NAUSEA,Gastrointestinal,1915,1900.6,1.01,1.01,1.01,-0.065,Ordinary,Not in reference set,84.44,18.85,5.80,67.15,No,
ADALIMUMAB,NAUSEA,Gastrointestinal,1610,1590.4,1.01,1.01,1.01,-0.065,Ordinary,Not in reference set,83.29,16.77,5.53,66.65,No,
VARENICLINE,ARTHRALGIA,Musculoskeletal,934,906.3,1.03,1.03,1.03,-0.065,Ordinary,Not in reference set,85.01,17.02,5.78,68.20,No,
FUROSEMIDE,RESPIRATORY DEPRESSION,Respiratory,791,762.6,1.04,1.04,1.04,-0.065,Ordinary,Not in reference set,82.55,17.45,4.68,66.25,No,
METFORMIN,MYALGIA,Musculoskeletal,1941,1927.6,1.01,1.01,1.01,-0.065,Ordinary,Not in reference set,83.05,18.13,5.98,66.67,No,
ATORVASTATIN,GASTROINTESTINAL HAEMORRHAGE,Gastrointestinal,1911,1897.0,1.01,1.01,1.01,-0.065,Ordinary,Not in reference set,83.25,17.74,5.55,67.82,No,
ONDANSETRON,PYREXIA,General,1562,1542.0,1.01,1.01,1.01,-0.065,Ordinary,Not in reference set,83.61,18.50,5.89,66.52,No,
