Drug,SideEffect,Pair,Quarter,QuarterOrder,SignalScore,Reported,PairOutcome
CIPROFLOXACIN,TENDON RUPTURE,CIPROFLOXACIN - TENDON RUPTURE,2025Q1,8101,2.312,5162,Sustained
CLOZAPINE,AGRANULOCYTOSIS,CLOZAPINE - AGRANULOCYTOSIS,2019Q1,8077,1.474,36,Sustained
CLOZAPINE,AGRANULOCYTOSIS,CLOZAPINE - AGRANULOCYTOSIS,2019Q2,8078,1.877,86,Sustained
CLOZAPINE,AGRANULOCYTOSIS,CLOZAPINE - AGRANULOCYTOSIS,2019Q3,8079,2.142,151,Sustained
CLOZAPINE,AGRANULOCYTOSIS,CLOZAPINE - AGRANULOCYTOSIS,2019Q4,8080,2.319,223,Sustained
CLOZAPINE,AGRANULOCYTOSIS,CLOZAPINE - AGRANULOCYTOSIS,2020Q1,8081,2.571,346,Sustained
CLOZAPINE,AGRANULOCYTOSIS,CLOZAPINE - AGRANULOCYTOSIS,2020Q2,8082,2.696,454,Sustained
CLOZAPINE,AGRANULOCYTOSIS,CLOZAPINE - AGRANULOCYTOSIS,2020Q3,8083,2.831,586,Sustained
CLOZAPINE,AGRANULOCYTOSIS,CLOZAPINE - AGRANULOCYTOSIS,2020Q4,8084,2.944,766,Sustained
CLOZAPINE,AGRANULOCYTOSIS,CLOZAPINE - AGRANULOCYTOSIS,2021Q1,8085,3.041,940,Sustained
CLOZAPINE,AGRANULOCYTOSIS,CLOZAPINE - AGRANULOCYTOSIS,2021Q2,8086,3.120,1150,Sustained
CLOZAPINE,AGRANULOCYTOSIS,CLOZAPINE - AGRANULOCYTOSIS,2021Q3,8087,3.192,1383,Sustained
CLOZAPINE,AGRANULOCYTOSIS,CLOZAPINE - AGRANULOCYTOSIS,2021Q4,8088,3.233,1596,Sustained
CLOZAPINE,AGRANULOCYTOSIS,CLOZAPINE - AGRANULOCYTOSIS,2022Q1,8089,3.289,1873,Sustained
CLOZAPINE,AGRANULOCYTOSIS,CLOZAPINE - AGRANULOCYTOSIS,2022Q2,8090,3.341,2165,Sustained
CLOZAPINE,AGRANULOCYTOSIS,CLOZAPINE - AGRANULOCYTOSIS,2022Q3,8091,3.372,2442,Sustained
CLOZAPINE,AGRANULOCYTOSIS,CLOZAPINE - AGRANULOCYTOSIS,2022Q4,8092,3.401,2699,Sustained
CLOZAPINE,AGRANULOCYTOSIS,CLOZAPINE - AGRANULOCYTOSIS,2023Q1,8093,3.428,2972,Sustained
CLOZAPINE,AGRANULOCYTOSIS,CLOZAPINE - AGRANULOCYTOSIS,2023Q2,8094,3.448,3277,Sustained
CLOZAPINE,AGRANULOCYTOSIS,CLOZAPINE - AGRANULOCYTOSIS,2023Q3,8095,3.461,3538,Sustained
CLOZAPINE,AGRANULOCYTOSIS,CLOZAPINE - AGRANULOCYTOSIS,2023Q4,8096,3.475,3813,Sustained
CLOZAPINE,AGRANULOCYTOSIS,CLOZAPINE - AGRANULOCYTOSIS,2024Q1,8097,3.491,4078,Sustained
CLOZAPINE,AGRANULOCYTOSIS,CLOZAPINE - AGRANULOCYTOSIS,2024Q2,8098,3.502,4346,Sustained
CLOZAPINE,AGRANULOCYTOSIS,CLOZAPINE - AGRANULOCYTOSIS,2024Q3,8099,3.513,4622,Sustained
CLOZAPINE,AGRANULOCYTOSIS,CLOZAPINE - AGRANULOCYTOSIS,2024Q4,8100,3.522,4892,Sustained
CLOZAPINE,AGRANULOCYTOSIS,CLOZAPINE - AGRANULOCYTOSIS,2025Q1,8101,3.538,5182,Sustained
CLOZAPINE,MYOCARDITIS,CLOZAPINE - MYOCARDITIS,2019Q1,8077,-1.070,8,Sustained
CLOZAPINE,MYOCARDITIS,CLOZAPINE - MYOCARDITIS,2019Q2,8078,-0.456,18,Sustained
CLOZAPINE,MYOCARDITIS,CLOZAPINE - MYOCARDITIS,2019Q3,8079,-0.173,28,Sustained
CLOZAPINE,MYOCARDITIS,CLOZAPINE - MYOCARDITIS,2019Q4,8080,-0.100,37,Sustained
CLOZAPINE,MYOCARDITIS,CLOZAPINE - MYOCARDITIS,2020Q1,8081,0.269,57,Sustained
CLOZAPINE,MYOCARDITIS,CLOZAPINE - MYOCARDITIS,2020Q2,8082,0.729,90,Sustained
CLOZAPINE,MYOCARDITIS,CLOZAPINE - MYOCARDITIS,2020Q3,8083,1.230,143,Sustained
CLOZAPINE,MYOCARDITIS,CLOZAPINE - MYOCARDITIS,2020Q4,8084,1.527,202,Sustained
CLOZAPINE,MYOCARDITIS,CLOZAPINE - MYOCARDITIS,2021Q1,8085,1.784,275,Sustained
CLOZAPINE,MYOCARDITIS,CLOZAPINE - MYOCARDITIS,2021Q2,8086,2.016,367,Sustained
CLOZAPINE,MYOCARDITIS,CLOZAPINE - MYOCARDITIS,2021Q3,8087,2.156,459,Sustained
CLOZAPINE,MYOCARDITIS,CLOZAPINE - MYOCARDITIS,2021Q4,8088,2.342,587,Sustained
CLOZAPINE,MYOCARDITIS,CLOZAPINE - MYOCARDITIS,2022Q1,8089,2.483,718,Sustained
CLOZAPINE,MYOCARDITIS,CLOZAPINE - MYOCARDITIS,2022Q2,8090,2.595,855,Sustained
CLOZAPINE,MYOCARDITIS,CLOZAPINE - MYOCARDITIS,2022Q3,8091,2.712,1029,Sustained
CLOZAPINE,MYOCARDITIS,CLOZAPINE - MYOCARDITIS,2022Q4,8092,2.779,1175,Sustained
CLOZAPINE,MYOCARDITIS,CLOZAPINE - MYOCARDITIS,2023Q1,8093,2.859,1359,Sustained
CLOZAPINE,MYOCARDITIS,CLOZAPINE - MYOCARDITIS,2023Q2,8094,2.913,1527,Sustained
CLOZAPINE,MYOCARDITIS,CLOZAPINE - MYOCARDITIS,2023Q3,8095,2.941,1677,Sustained
CLOZAPINE,MYOCARDITIS,CLOZAPINE - MYOCARDITIS,2023Q4,8096,2.972,1835,Sustained
CLOZAPINE,MYOCARDITIS,CLOZAPINE - MYOCARDITIS,2024Q1,8097,3.000,1972,Sustained
CLOZAPINE,MYOCARDITIS,CLOZAPINE - MYOCARDITIS,2024Q2,8098,3.013,2118,Sustained
CLOZAPINE,MYOCARDITIS,CLOZAPINE - MYOCARDITIS,2024Q3,8099,3.042,2279,Sustained
CLOZAPINE,MYOCARDITIS,CLOZAPINE - MYOCARDITIS,2024Q4,8100,3.066,2453,Sustained
CLOZAPINE,MYOCARDITIS,CLOZAPINE - MYOCARDITIS,2025Q1,8101,3.087,2599,Sustained
DULOXETINE,HEPATITIS,DULOXETINE - HEPATITIS,2019Q1,8077,-1.284,11,Sustained
DULOXETINE,HEPATITIS,DULOXETINE - HEPATITIS,2019Q2,8078,-1.086,22,Sustained
DULOXETINE,HEPATITIS,DULOXETINE - HEPATITIS,2019Q3,8079,-0.955,35,Sustained
DULOXETINE,HEPATITIS,DULOXETINE - HEPATITIS,2019Q4,8080,-0.612,57,Sustained
DULOXETINE,HEPATITIS,DULOXETINE - HEPATITIS,2020Q1,8081,-0.661,67,Sustained
DULOXETINE,HEPATITIS,DULOXETINE - HEPATITIS,2020Q2,8082,-0.378,95,Sustained
DULOXETINE,HEPATITIS,DULOXETINE - HEPATITIS,2020Q3,8083,-0.147,128,Sustained
DULOXETINE,HEPATITIS,DULOXETINE - HEPATITIS,2020Q4,8084,-0.027,155,Sustained
DULOXETINE,HEPATITIS,DULOXETINE - HEPATITIS,2021Q1,8085,0.062,183,Sustained
DULOXETINE,HEPATITIS,DULOXETINE - HEPATITIS,2021Q2,8086,0.215,225,Sustained
DULOXETINE,HEPATITIS,DULOXETINE - HEPATITIS,2021Q3,8087,0.349,269,Sustained
DULOXETINE,HEPATITIS,DULOXETINE - HEPATITIS,2021Q4,8088,0.477,320,Sustained
DULOXETINE,HEPATITIS,DULOXETINE - HEPATITIS,2022Q1,8089,0.556,365,Sustained
DULOXETINE,HEPATITIS,DULOXETINE - HEPATITIS,2022Q2,8090,0.643,415,Sustained
DULOXETINE,HEPATITIS,DULOXETINE - HEPATITIS,2022Q3,8091,0.748,477,Sustained
DULOXETINE,HEPATITIS,DULOXETINE - HEPATITIS,2022Q4,8092,0.820,536,Sustained
DULOXETINE,HEPATITIS,DULOXETINE - HEPATITIS,2023Q1,8093,0.835,576,Sustained
DULOXETINE,HEPATITIS,DULOXETINE - HEPATITIS,2023Q2,8094,0.862,621,Sustained
DULOXETINE,HEPATITIS,DULOXETINE - HEPATITIS,2023Q3,8095,0.904,672,Sustained
DULOXETINE,HEPATITIS,DULOXETINE - HEPATITIS,2023Q4,8096,0.962,738,Sustained
DULOXETINE,HEPATITIS,DULOXETINE - HEPATITIS,2024Q1,8097,1.005,799,Sustained
DULOXETINE,HEPATITIS,DULOXETINE - HEPATITIS,2024Q2,8098,1.038,859,Sustained
DULOXETINE,HEPATITIS,DULOXETINE - HEPATITIS,2024Q3,8099,1.045,899,Sustained
DULOXETINE,HEPATITIS,DULOXETINE - HEPATITIS,2024Q4,8100,1.051,940,Sustained
DULOXETINE,HEPATITIS,DULOXETINE - HEPATITIS,2025Q1,8101,1.058,986,Sustained
FEBUXOSTAT,MYOCARDIAL INFARCTION,FEBUXOSTAT - MYOCARDIAL INFARCTION,2019Q1,8077,0.421,42,Sustained
FEBUXOSTAT,MYOCARDIAL INFARCTION,FEBUXOSTAT - MYOCARDIAL INFARCTION,2019Q2,8078,0.625,87,Sustained
FEBUXOSTAT,MYOCARDIAL INFARCTION,FEBUXOSTAT - MYOCARDIAL INFARCTION,2019Q3,8079,0.782,140,Sustained
FEBUXOSTAT,MYOCARDIAL INFARCTION,FEBUXOSTAT - MYOCARDIAL INFARCTION,2019Q4,8080,1.041,220,Sustained
FEBUXOSTAT,MYOCARDIAL INFARCTION,FEBUXOSTAT - MYOCARDIAL INFARCTION,2020Q1,8081,1.195,303,Sustained
FEBUXOSTAT,MYOCARDIAL INFARCTION,FEBUXOSTAT - MYOCARDIAL INFARCTION,2020Q2,8082,1.354,396,Sustained
FEBUXOSTAT,MYOCARDIAL INFARCTION,FEBUXOSTAT - MYOCARDIAL INFARCTION,2020Q3,8083,1.478,499,Sustained
FEBUXOSTAT,MYOCARDIAL INFARCTION,FEBUXOSTAT - MYOCARDIAL INFARCTION,2020Q4,8084,1.614,619,Sustained
FEBUXOSTAT,MYOCARDIAL INFARCTION,FEBUXOSTAT - MYOCARDIAL INFARCTION,2021Q1,8085,1.712,770,Sustained
FEBUXOSTAT,MYOCARDIAL INFARCTION,FEBUXOSTAT - MYOCARDIAL INFARCTION,2021Q2,8086,1.797,918,Sustained
FEBUXOSTAT,MYOCARDIAL INFARCTION,FEBUXOSTAT - MYOCARDIAL INFARCTION,2021Q3,8087,1.860,1066,Sustained
FEBUXOSTAT,MYOCARDIAL INFARCTION,FEBUXOSTAT - MYOCARDIAL INFARCTION,2021Q4,8088,1.942,1242,Sustained
FEBUXOSTAT,MYOCARDIAL INFARCTION,FEBUXOSTAT - MYOCARDIAL INFARCTION,2022Q1,8089,1.993,1408,Sustained
FEBUXOSTAT,MYOCARDIAL INFARCTION,FEBUXOSTAT - MYOCARDIAL INFARCTION,2022Q2,8090,2.045,1571,Sustained
FEBUXOSTAT,MYOCARDIAL INFARCTION,FEBUXOSTAT - MYOCARDIAL INFARCTION,2022Q3,8091,2.090,1744,Sustained
FEBUXOSTAT,MYOCARDIAL INFARCTION,FEBUXOSTAT - MYOCARDIAL INFARCTION,2022Q4,8092,2.133,1923,Sustained
FEBUXOSTAT,MYOCARDIAL INFARCTION,FEBUXOSTAT - MYOCARDIAL INFARCTION,2023Q1,8093,2.172,2120,Sustained
FEBUXOSTAT,MYOCARDIAL INFARCTION,FEBUXOSTAT - MYOCARDIAL INFARCTION,2023Q2,8094,2.214,2330,Sustained
FEBUXOSTAT,MYOCARDIAL INFARCTION,FEBUXOSTAT - MYOCARDIAL INFARCTION,2023Q3,8095,2.230,2504,Sustained
FEBUXOSTAT,MYOCARDIAL INFARCTION,FEBUXOSTAT - MYOCARDIAL INFARCTION,2023Q4,8096,2.251,2690,Sustained
FEBUXOSTAT,MYOCARDIAL INFARCTION,FEBUXOSTAT - MYOCARDIAL INFARCTION,2024Q1,8097,2.265,2860,Sustained
FEBUXOSTAT,MYOCARDIAL INFARCTION,FEBUXOSTAT - MYOCARDIAL INFARCTION,2024Q2,8098,2.286,3062,Sustained
FEBUXOSTAT,MYOCARDIAL INFARCTION,FEBUXOSTAT - MYOCARDIAL INFARCTION,2024Q3,8099,2.299,3232,Sustained
FEBUXOSTAT,MYOCARDIAL INFARCTION,FEBUXOSTAT - MYOCARDIAL INFARCTION,2024Q4,8100,2.307,3393,Sustained
FEBUXOSTAT,MYOCARDIAL INFARCTION,FEBUXOSTAT - MYOCARDIAL INFARCTION,2025Q1,8101,2.309,3550,Sustained
FUROSEMIDE,CLOSTRIDIUM DIFFICILE COLITIS,FUROSEMIDE - CLOSTRIDIUM DIFFICILE COLITIS,2019Q1,8077,0.195,21,Transient
FUROSEMIDE,CLOSTRIDIUM DIFFICILE COLITIS,FUROSEMIDE - CLOSTRIDIUM DIFFICILE COLITIS,2019Q2,8078,-0.062,30,Transient
FUROSEMIDE,CLOSTRIDIUM DIFFICILE COLITIS,FUROSEMIDE - CLOSTRIDIUM DIFFICILE COLITIS,2019Q3,8079,-0.387,36,Transient
FUROSEMIDE,CLOSTRIDIUM DIFFICILE COLITIS,FUROSEMIDE - CLOSTRIDIUM DIFFICILE COLITIS,2019Q4,8080,-0.435,47,Transient
FUROSEMIDE,CLOSTRIDIUM DIFFICILE COLITIS,FUROSEMIDE - CLOSTRIDIUM DIFFICILE COLITIS,2020Q1,8081,-0.423,61,Transient
FUROSEMIDE,CLOSTRIDIUM DIFFICILE COLITIS,FUROSEMIDE - CLOSTRIDIUM DIFFICILE COLITIS,2020Q2,8082,-0.501,71,Transient
FUROSEMIDE,CLOSTRIDIUM DIFFICILE COLITIS,FUROSEMIDE - CLOSTRIDIUM DIFFICILE COLITIS,2020Q3,8083,-0.464,89,Transient
FUROSEMIDE,CLOSTRIDIUM DIFFICILE COLITIS,FUROSEMIDE - CLOSTRIDIUM DIFFICILE COLITIS,2020Q4,8084,-0.522,100,Transient
FUROSEMIDE,CLOSTRIDIUM DIFFICILE COLITIS,FUROSEMIDE - CLOSTRIDIUM DIFFICILE COLITIS,2021Q1,8085,-0.427,123,Transient
FUROSEMIDE,CLOSTRIDIUM DIFFICILE COLITIS,FUROSEMIDE - CLOSTRIDIUM DIFFICILE COLITIS,2021Q2,8086,-0.321,152,Transient
FUROSEMIDE,CLOSTRIDIUM DIFFICILE COLITIS,FUROSEMIDE - CLOSTRIDIUM DIFFICILE COLITIS,2021Q3,8087,-0.281,180,Transient
FUROSEMIDE,CLOSTRIDIUM DIFFICILE COLITIS,FUROSEMIDE - CLOSTRIDIUM DIFFICILE COLITIS,2021Q4,8088,-0.246,207,Transient
FUROSEMIDE,CLOSTRIDIUM DIFFICILE COLITIS,FUROSEMIDE - CLOSTRIDIUM DIFFICILE COLITIS,2022Q1,8089,-0.320,220,Transient
FUROSEMIDE,CLOSTRIDIUM DIFFICILE COLITIS,FUROSEMIDE - CLOSTRIDIUM DIFFICILE COLITIS,2022Q2,8090,-0.252,259,Transient
FUROSEMIDE,CLOSTRIDIUM DIFFICILE COLITIS,FUROSEMIDE - CLOSTRIDIUM DIFFICILE COLITIS,2022Q3,8091,-0.223,293,Transient
FUROSEMIDE,CLOSTRIDIUM DIFFICILE COLITIS,FUROSEMIDE - CLOSTRIDIUM DIFFICILE COLITIS,2022Q4,8092,-0.167,334,Transient
FUROSEMIDE,CLOSTRIDIUM DIFFICILE COLITIS,FUROSEMIDE - CLOSTRIDIUM DIFFICILE COLITIS,2023Q1,8093,-0.145,368,Transient
FUROSEMIDE,CLOSTRIDIUM DIFFICILE COLITIS,FUROSEMIDE - CLOSTRIDIUM DIFFICILE COLITIS,2023Q2,8094,-0.149,394,Transient
FUROSEMIDE,CLOSTRIDIUM DIFFICILE COLITIS,FUROSEMIDE - CLOSTRIDIUM DIFFICILE COLITIS,2023Q3,8095,-0.154,422,Transient
FUROSEMIDE,CLOSTRIDIUM DIFFICILE COLITIS,FUROSEMIDE - CLOSTRIDIUM DIFFICILE COLITIS,2023Q4,8096,-0.149,448,Transient
FUROSEMIDE,CLOSTRIDIUM DIFFICILE COLITIS,FUROSEMIDE - CLOSTRIDIUM DIFFICILE COLITIS,2024Q1,8097,-0.149,475,Transient
FUROSEMIDE,CLOSTRIDIUM DIFFICILE COLITIS,FUROSEMIDE - CLOSTRIDIUM DIFFICILE COLITIS,2024Q2,8098,-0.144,503,Transient
FUROSEMIDE,CLOSTRIDIUM DIFFICILE COLITIS,FUROSEMIDE - CLOSTRIDIUM DIFFICILE COLITIS,2024Q3,8099,-0.138,533,Transient
FUROSEMIDE,CLOSTRIDIUM DIFFICILE COLITIS,FUROSEMIDE - CLOSTRIDIUM DIFFICILE COLITIS,2024Q4,8100,-0.123,566,Transient
FUROSEMIDE,CLOSTRIDIUM DIFFICILE COLITIS,FUROSEMIDE - CLOSTRIDIUM DIFFICILE COLITIS,2025Q1,8101,-0.126,592,Transient
HYDROXYCHLOROQUINE,ELECTROCARDIOGRAM QT PROLONGED,HYDROXYCHLOROQUINE - ELECTROCARDIOGRAM QT PROLONGED,2019Q1,8077,-1.518,10,Sustained
HYDROXYCHLOROQUINE,ELECTROCARDIOGRAM QT PROLONGED,HYDROXYCHLOROQUINE - ELECTROCARDIOGRAM QT PROLONGED,2019Q2,8078,-0.771,26,Sustained
HYDROXYCHLOROQUINE,ELECTROCARDIOGRAM QT PROLONGED,HYDROXYCHLOROQUINE - ELECTROCARDIOGRAM QT PROLONGED,2019Q3,8079,-0.461,43,Sustained
HYDROXYCHLOROQUINE,ELECTROCARDIOGRAM QT PROLONGED,HYDROXYCHLOROQUINE - ELECTROCARDIOGRAM QT PROLONGED,2019Q4,8080,-0.517,52,Sustained
HYDROXYCHLOROQUINE,ELECTROCARDIOGRAM QT PROLONGED,HYDROXYCHLOROQUINE - ELECTROCARDIOGRAM QT PROLONGED,2020Q1,8081,-0.416,68,Sustained
HYDROXYCHLOROQUINE,ELECTROCARDIOGRAM QT PROLONGED,HYDROXYCHLOROQUINE - ELECTROCARDIOGRAM QT PROLONGED,2020Q2,8082,0.122,115,Sustained
HYDROXYCHLOROQUINE,ELECTROCARDIOGRAM QT PROLONGED,HYDROXYCHLOROQUINE - ELECTROCARDIOGRAM QT PROLONGED,2020Q3,8083,0.394,162,Sustained
HYDROXYCHLOROQUINE,ELECTROCARDIOGRAM QT PROLONGED,HYDROXYCHLOROQUINE - ELECTROCARDIOGRAM QT PROLONGED,2020Q4,8084,0.832,258,Sustained
HYDROXYCHLOROQUINE,ELECTROCARDIOGRAM QT PROLONGED,HYDROXYCHLOROQUINE - ELECTROCARDIOGRAM QT PROLONGED,2021Q1,8085,1.087,361,Sustained
HYDROXYCHLOROQUINE,ELECTROCARDIOGRAM QT PROLONGED,HYDROXYCHLOROQUINE - ELECTROCARDIOGRAM QT PROLONGED,2021Q2,8086,1.234,467,Sustained
HYDROXYCHLOROQUINE,ELECTROCARDIOGRAM QT PROLONGED,HYDROXYCHLOROQUINE - ELECTROCARDIOGRAM QT PROLONGED,2021Q3,8087,1.373,599,Sustained
HYDROXYCHLOROQUINE,ELECTROCARDIOGRAM QT PROLONGED,HYDROXYCHLOROQUINE - ELECTROCARDIOGRAM QT PROLONGED,2021Q4,8088,1.526,751,Sustained
HYDROXYCHLOROQUINE,ELECTROCARDIOGRAM QT PROLONGED,HYDROXYCHLOROQUINE - ELECTROCARDIOGRAM QT PROLONGED,2022Q1,8089,1.679,945,Sustained
HYDROXYCHLOROQUINE,ELECTROCARDIOGRAM QT PROLONGED,HYDROXYCHLOROQUINE - ELECTROCARDIOGRAM QT PROLONGED,2022Q2,8090,1.780,1137,Sustained
HYDROXYCHLOROQUINE,ELECTROCARDIOGRAM QT PROLONGED,HYDROXYCHLOROQUINE - ELECTROCARDIOGRAM QT PROLONGED,2022Q3,8091,1.867,1350,Sustained
HYDROXYCHLOROQUINE,ELECTROCARDIOGRAM QT PROLONGED,HYDROXYCHLOROQUINE - ELECTROCARDIOGRAM QT PROLONGED,2022Q4,8092,1.940,1581,Sustained
HYDROXYCHLOROQUINE,ELECTROCARDIOGRAM QT PROLONGED,HYDROXYCHLOROQUINE - ELECTROCARDIOGRAM QT PROLONGED,2023Q1,8093,2.002,1824,Sustained
HYDROXYCHLOROQUINE,ELECTROCARDIOGRAM QT PROLONGED,HYDROXYCHLOROQUINE - ELECTROCARDIOGRAM QT PROLONGED,2023Q2,8094,2.046,2059,Sustained
HYDROXYCHLOROQUINE,ELECTROCARDIOGRAM QT PROLONGED,HYDROXYCHLOROQUINE - ELECTROCARDIOGRAM QT PROLONGED,2023Q3,8095,2.082,2293,Sustained
HYDROXYCHLOROQUINE,ELECTROCARDIOGRAM QT PROLONGED,HYDROXYCHLOROQUINE - ELECTROCARDIOGRAM QT PROLONGED,2023Q4,8096,2.114,2525,Sustained
HYDROXYCHLOROQUINE,ELECTROCARDIOGRAM QT PROLONGED,HYDROXYCHLOROQUINE - ELECTROCARDIOGRAM QT PROLONGED,2024Q1,8097,2.147,2758,Sustained
HYDROXYCHLOROQUINE,ELECTROCARDIOGRAM QT PROLONGED,HYDROXYCHLOROQUINE - ELECTROCARDIOGRAM QT PROLONGED,2024Q2,8098,2.174,2996,Sustained
HYDROXYCHLOROQUINE,ELECTROCARDIOGRAM QT PROLONGED,HYDROXYCHLOROQUINE - ELECTROCARDIOGRAM QT PROLONGED,2024Q3,8099,2.189,3219,Sustained
HYDROXYCHLOROQUINE,ELECTROCARDIOGRAM QT PROLONGED,HYDROXYCHLOROQUINE - ELECTROCARDIOGRAM QT PROLONGED,2024Q4,8100,2.205,3444,Sustained
HYDROXYCHLOROQUINE,ELECTROCARDIOGRAM QT PROLONGED,HYDROXYCHLOROQUINE - ELECTROCARDIOGRAM QT PROLONGED,2025Q1,8101,2.222,3689,Sustained
ISOTRETINOIN,DEPRESSION,ISOTRETINOIN - DEPRESSION,2019Q1,8077,-0.196,40,Sustained
ISOTRETINOIN,DEPRESSION,ISOTRETINOIN - DEPRESSION,2019Q2,8078,0.239,94,Sustained
ISOTRETINOIN,DEPRESSION,ISOTRETINOIN - DEPRESSION,2019Q3,8079,0.345,146,Sustained
ISOTRETINOIN,DEPRESSION,ISOTRETINOIN - DEPRESSION,2019Q4,8080,0.614,232,Sustained
ISOTRETINOIN,DEPRESSION,ISOTRETINOIN - DEPRESSION,2020Q1,8081,0.691,307,Sustained
ISOTRETINOIN,DEPRESSION,ISOTRETINOIN - DEPRESSION,2020Q2,8082,0.833,405,Sustained
ISOTRETINOIN,DEPRESSION,ISOTRETINOIN - DEPRESSION,2020Q3,8083,0.923,508,Sustained
ISOTRETINOIN,DEPRESSION,ISOTRETINOIN - DEPRESSION,2020Q4,8084,1.014,629,Sustained
ISOTRETINOIN,DEPRESSION,ISOTRETINOIN - DEPRESSION,2021Q1,8085,1.096,752,Sustained
ISOTRETINOIN,DEPRESSION,ISOTRETINOIN - DEPRESSION,2021Q2,8086,1.200,907,Sustained
ISOTRETINOIN,DEPRESSION,ISOTRETINOIN - DEPRESSION,2021Q3,8087,1.268,1055,Sustained
ISOTRETINOIN,DEPRESSION,ISOTRETINOIN - DEPRESSION,2021Q4,8088,1.313,1197,Sustained
ISOTRETINOIN,DEPRESSION,ISOTRETINOIN - DEPRESSION,2022Q1,8089,1.385,1385,Sustained
ISOTRETINOIN,DEPRESSION,ISOTRETINOIN - DEPRESSION,2022Q2,8090,1.421,1552,Sustained
ISOTRETINOIN,DEPRESSION,ISOTRETINOIN - DEPRESSION,2022Q3,8091,1.453,1716,Sustained
ISOTRETINOIN,DEPRESSION,ISOTRETINOIN - DEPRESSION,2022Q4,8092,1.477,1888,Sustained
ISOTRETINOIN,DEPRESSION,ISOTRETINOIN - DEPRESSION,2023Q1,8093,1.510,2088,Sustained
ISOTRETINOIN,DEPRESSION,ISOTRETINOIN - DEPRESSION,2023Q2,8094,1.524,2256,Sustained
ISOTRETINOIN,DEPRESSION,ISOTRETINOIN - DEPRESSION,2023Q3,8095,1.535,2406,Sustained
ISOTRETINOIN,DEPRESSION,ISOTRETINOIN - DEPRESSION,2023Q4,8096,1.555,2589,Sustained
ISOTRETINOIN,DEPRESSION,ISOTRETINOIN - DEPRESSION,2024Q1,8097,1.577,2781,Sustained
ISOTRETINOIN,DEPRESSION,ISOTRETINOIN - DEPRESSION,2024Q2,8098,1.592,2955,Sustained
ISOTRETINOIN,DEPRESSION,ISOTRETINOIN - DEPRESSION,2024Q3,8099,1.595,3115,Sustained
ISOTRETINOIN,DEPRESSION,ISOTRETINOIN - DEPRESSION,2024Q4,8100,1.609,3300,Sustained
ISOTRETINOIN,DEPRESSION,ISOTRETINOIN - DEPRESSION,2025Q1,8101,1.617,3471,Sustained
LEVOFLOXACIN,AORTIC ANEURYSM,LEVOFLOXACIN - AORTIC ANEURYSM,2019Q1,8077,-1.272,9,Sustained
LEVOFLOXACIN,AORTIC ANEURYSM,LEVOFLOXACIN - AORTIC ANEURYSM,2019Q2,8078,-0.851,18,Sustained
LEVOFLOXACIN,AORTIC ANEURYSM,LEVOFLOXACIN - AORTIC ANEURYSM,2019Q3,8079,-0.811,26,Sustained
LEVOFLOXACIN,AORTIC ANEURYSM,LEVOFLOXACIN - AORTIC ANEURYSM,2019Q4,8080,-0.608,37,Sustained
LEVOFLOXACIN,AORTIC ANEURYSM,LEVOFLOXACIN - AORTIC ANEURYSM,2020Q1,8081,-0.012,65,Sustained
LEVOFLOXACIN,AORTIC ANEURYSM,LEVOFLOXACIN - AORTIC ANEURYSM,2020Q2,8082,0.459,104,Sustained
LEVOFLOXACIN,AORTIC ANEURYSM,LEVOFLOXACIN - AORTIC ANEURYSM,2020Q3,8083,1.008,176,Sustained
LEVOFLOXACIN,AORTIC ANEURYSM,LEVOFLOXACIN - AORTIC ANEURYSM,2020Q4,8084,1.441,273,Sustained
LEVOFLOXACIN,AORTIC ANEURYSM,LEVOFLOXACIN - AORTIC ANEURYSM,2021Q1,8085,1.691,378,Sustained
LEVOFLOXACIN,AORTIC ANEURYSM,LEVOFLOXACIN - AORTIC ANEURYSM,2021Q2,8086,1.920,512,Sustained
LEVOFLOXACIN,AORTIC ANEURYSM,LEVOFLOXACIN - AORTIC ANEURYSM,2021Q3,8087,2.060,642,Sustained
LEVOFLOXACIN,AORTIC ANEURYSM,LEVOFLOXACIN - AORTIC ANEURYSM,2021Q4,8088,2.202,806,Sustained
LEVOFLOXACIN,AORTIC ANEURYSM,LEVOFLOXACIN - AORTIC ANEURYSM,2022Q1,8089,2.305,973,Sustained
LEVOFLOXACIN,AORTIC ANEURYSM,LEVOFLOXACIN - AORTIC ANEURYSM,2022Q2,8090,2.384,1140,Sustained
LEVOFLOXACIN,AORTIC ANEURYSM,LEVOFLOXACIN - AORTIC ANEURYSM,2022Q3,8091,2.457,1320,Sustained
LEVOFLOXACIN,AORTIC ANEURYSM,LEVOFLOXACIN - AORTIC ANEURYSM,2022Q4,8092,2.528,1524,Sustained
LEVOFLOXACIN,AORTIC ANEURYSM,LEVOFLOXACIN - AORTIC ANEURYSM,2023Q1,8093,2.579,1712,Sustained
LEVOFLOXACIN,AORTIC ANEURYSM,LEVOFLOXACIN - AORTIC ANEURYSM,2023Q2,8094,2.630,1895,Sustained
LEVOFLOXACIN,AORTIC ANEURYSM,LEVOFLOXACIN - AORTIC ANEURYSM,2023Q3,8095,2.671,2103,Sustained
LEVOFLOXACIN,AORTIC ANEURYSM,LEVOFLOXACIN - AORTIC ANEURYSM,2023Q4,8096,2.698,2289,Sustained
